Filename,Year,Age,Country Code,Country Name,World Region,Size,Mean Color,Variance,AgeClass
2021_6-9_1313_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(765, 1039)",[118.16437877 124.99527827 121.72115345],[3054.81953771 3230.10448116 3205.96816231],2
2021_6-9_1386_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(755, 1147)",[127.92495251 140.19294791 101.8154356 ],[4591.43795409 4767.86071852 4795.78970198],2
2021_6-9_1290_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1226, 1205)",[137.85757414 134.52688025 115.5857872 ],[3825.57285384 3197.71454386 2369.90003599],2
2021_6-9_1409_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1203, 919)",[136.28731942  98.32300732  93.46657748],[4192.33824723 4246.74498386 3959.27670692],2
2021_6-9_1406_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(745, 1030)",[133.80717795 133.51906822 118.61220434],[4588.11563389 4684.10172476 5039.87712609],2
2021_6-9_1257_POL_R_C.jpg,2021,6-9,POL,Poland,Eastern Europe,"(989, 727)",[162.80992708 170.71221817 166.82325665],[3776.12947799 4484.23018727 4321.37194509],2
2021_6-9_1401_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1065, 1468)",[105.51285707  97.58951785  62.41608653],[4135.55872034 3568.34296773 1669.35562435],2
2021_6-9_1289_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1162, 1205)",[131.21659822 127.50288957  97.39426872],[3481.88212799 3403.76567287 2439.69319988],2
2021_6-9_1372_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1031, 763)",[118.05458315 126.10792815 118.04429272],[3468.29537078 3774.47242519 3772.6097348 ],2
2021_6-9_1354_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(736, 1029)",[137.19451134 130.01972816 103.32001442],[4100.23025223 3651.90026757 4663.2928867 ],2
2021_6-9_1389_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1056, 1472)",[131.34572628 132.55860083 123.10476946],[2729.42710131 3217.38254873 4555.3420713 ],2
2021_6-9_1371_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1056, 766)",[124.85606679 125.01572266 128.26962428],[3858.04855419 3160.56479453 4729.28684464],2
2021_6-9_1325_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(724, 1030)",[106.9572601   95.56139704  90.45203696],[2329.90174301 2278.93220101 2847.62543114],2
2021_6-9_1350_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(706, 1027)",[103.71240528 106.10921411 104.32733063],[2147.90416213 2151.58760859 4120.01026944],2
2021_6-9_1360_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(741, 1028)",[126.77800664 121.01735351 111.51410309],[3058.32751416 2606.44195929 3983.54854294],2
2021_6-9_1362_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(738, 1033)",[116.33552785 100.12970746  69.91087736],[4643.32238566 3656.6517958  1657.40001855],2
2021_6-9_1385_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(884, 1236)",[146.1664223  143.40096227 163.11062451],[2877.49817254 2604.48729209 4145.73459645],2
2021_6-9_1355_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(754, 1039)",[103.50668491  85.42744886  71.25878791],[2350.12799556 1881.47527324 2239.589082  ],2
2021_6-9_1211_HON_R_C.jpg,2021,6-9,HON,Unknown,Unknown,"(988, 2146)",[53.30261413 53.2187961  64.95261734],[1585.27546523 1817.1924643  3019.10688316],2
2021_6-9_1266_POL_R_C.jpg,2021,6-9,POL,Poland,Eastern Europe,"(1053, 1468)",[122.64825942 115.03254164  74.60554766],[5068.68187358 3588.99839051 1170.24351488],2
2021_6-9_1757_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(895, 1245)",[101.77015997  85.88531287  69.63414328],[4169.17055647 2013.67334526 1520.13199436],2
2021_6-9_1380_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1246, 918)",[95.69371619 96.95709495 96.33830086],[4912.31422885 3262.00479477 3429.96165138],2
2021_6-9_1345_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(740, 1032)",[131.15511471 107.23973392 105.40926959],[4885.98634169 4067.71792048 4403.16464145],2
2021_6-9_1338_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(738, 1036)",[ 95.39044271 103.41333014 116.9511685 ],[2609.48290413 2788.06181114 3178.05171009],2
2021_6-9_1337_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(728, 1027)",[121.48036664  98.26789593 102.81555689],[2830.36783467 1643.9436105  2352.24300385],2
2021_6-9_1292_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1178, 1573)",[ 89.76975964 100.20242321 114.67280088],[2357.5385887  3074.85838609 3389.14112071],2
2021_6-9_1332_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(998, 749)",[77.43647107 77.30720587 73.74957659],[2201.07380935 1835.89354031 2493.35951307],2
2021_6-9_1214_HON_R_C.jpg,2021,6-9,HON,Unknown,Unknown,"(2219, 1125)",[75.60681668 84.19763577 96.66108617],[1602.93940318 1672.70464127 1931.63826666],2
2021_6-9_1327_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1009, 755)",[107.0058756  100.88002153 100.03823995],[2471.80612593 2593.92935513 2749.77428709],2
2021_6-9_1291_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1113, 1119)",[125.36604127 115.91130494 109.27661394],[2772.81461377 2841.8562358  3170.07975312],2
2021_6-9_1193_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1165, 1589)",[125.07425352 121.91849275 143.42467609],[3241.21876762 3633.57370915 3059.86203496],2
2021_6-9_1192_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1609, 1195)",[125.68582165 126.92760024 121.39018388],[3451.10926281 2860.63699767 2840.24019032],2
2021_6-9_1278_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1192, 1561)",[117.47867375  77.74924115  58.77555581],[3047.12241966 1220.33608878 1366.63344691],2
2021_6-9_1155_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1656, 1228)",[ 91.04482122  98.62369589 100.67246288],[2564.65816815 2385.19108633 3214.79271934],2
2021_6-9_1320_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(876, 634)",[129.87613255 128.68321018 108.80452444],[4225.1784651  3421.79583135 3137.81104676],2
2021_6-9_1298_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(756, 1040)",[ 92.03276735 105.76610068 109.47464133],[2912.94736316 3304.63228872 4778.63932691],2
2021_6-9_1156_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1675, 1209)",[101.36721554  92.31244769  77.76855771],[3457.72265483 2455.59493301 2389.47148713],2
2021_6-9_1300_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(748, 1042)",[86.81907095 77.99451769 69.64289032],[2982.01510434 2099.68003682 2212.93073809],2
2021_6-9_1293_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1198, 1584)",[76.43046439 69.19296049 59.51013263],[1717.87826226 1440.95111489 1085.30092935],2
2021_6-9_1280_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1186, 1557)",[108.6808733  121.88409847 130.86389975],[2629.49672568 2770.62410107 2743.71064142],2
2021_6-9_1294_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1206, 1582)",[101.44549429 101.93632868  71.73789292],[2304.73787976 2213.15186255 1125.47275925],2
2021_6-9_1268_POL_R_C.jpg,2021,6-9,POL,Poland,Eastern Europe,"(1425, 1033)",[63.7263715  67.35348584 77.01569471],[1296.6544887  1388.93672402 1795.77323103],2
2021_6-9_1279_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1563, 1201)",[78.56211155 68.70301354 60.56104185],[1927.10927232 1300.33910237 1677.90774709],2
2021_6-9_1233_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(884, 1231)",[79.37854207 45.72177919 33.10205991],[2940.52270694  844.57139892  269.59309929],2
2021_6-9_1288_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1185, 1206)",[117.47390964 100.29053747  64.53002918],[3518.35017086 2339.78562178 1124.92573756],2
2021_6-9_1147_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1656, 1222)",[ 78.1755329   82.91609393 100.15099682],[1738.74771809 1762.63920523 2243.29065122],2
2021_6-9_1281_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(1192, 1550)",[67.41283503 65.82565707 73.97735874],[ 874.27850099  778.86372772 1206.05438562],2
2021_6-9_1239_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1418, 1036)",[118.17204203  98.61416169  86.38309163],[7006.72089573 5686.3028193  6218.23564762],2
2021_6-9_1129_POL_R_C.jpg,2021,6-9,POL,Poland,Eastern Europe,"(897, 1243)",[138.03958489 129.78062927 118.61607522],[3106.43108823 3089.34404184 3720.00409359],2
2021_6-9_1242_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1039, 1394)",[123.44928561 103.22956766  89.48942187],[7217.35985824 6193.65790357 6561.93764376],2
2021_6-9_1102_RUS_R_C.jpg,2021,6-9,RUS,Russia,Eastern Europe,"(1206, 1735)",[109.37773668 105.3945503  106.17601904],[3526.16733645 3487.06421669 3346.13105533],2
2021_6-9_1240_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(882, 1243)",[113.60696362 107.23031379 103.138488  ],[4576.63607009 4817.70421664 5408.1976635 ],2
2021_6-9_1195_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1180, 1609)",[129.92049541 124.63397836 143.15192034],[3543.09818914 3010.33163899 4258.36853149],2
2021_6-9_1194_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1175, 1606)",[106.5650004  105.20920643 109.76596275],[3085.57782233 3073.96570301 3777.16088911],2
2021_6-9_1159_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1636, 1219)",[53.84543676 61.60395109 95.33923955],[1605.69408167 2122.4617733  2495.28620341],2
2021_6-9_1199_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1154, 1595)",[130.98391203 131.71531052 126.8898513 ],[4623.42721329 4354.59743047 4196.83717701],2
2021_6-9_1249_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(895, 1240)",[63.15324743 56.47866102 51.8327149 ],[1344.4106511  1154.40041508 1189.06681746],2
2021_6-9_1218_HON_R_C.jpg,2021,6-9,HON,Unknown,Unknown,"(1176, 1542)",[62.20999707 66.40669916 73.97710699],[1383.5500855  1365.88900378 1923.68083218],2
2021_6-9_1200_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1584, 1177)",[149.35553871 124.03567751 131.94743634],[2935.67416218 2868.95799266 3200.60689995],2
2021_6-9_1196_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1160, 1604)",[126.01950404 108.57029463 103.94344097],[3196.89775357 1898.33767196 2477.77053807],2
2021_6-9_1197_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1167, 1595)",[146.32062653 131.96577995 124.71383205],[3523.40194971 3179.23451892 4127.36131491],2
2021_6-9_1087_UKR_f_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1501, 2936)",[87.9610868  79.84058153 66.82305892],[1573.8893115  1375.11019175 1118.22494609],2
2021_6-9_1087_UKR_g_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1509, 2934)",[93.98039665 83.41930467 66.53145386],[2060.70918335 1536.7907672  1701.85399696],2
2021_6-9_1191_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1174, 1600)",[129.12256548 134.38387138 145.48515811],[3356.72451081 3198.48163233 3287.07375545],2
2021_6-9_1094_UKR_b_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1522, 2910)",[113.22638394 110.09333826 114.19085644],[2983.13828637 3038.96846417 2785.16196604],2
2021_6-9_1190_KOR_R_C.jpg,2021,6-9,KOR,"Korea, Republic of",Eastern Asia,"(1167, 1594)",[106.14884222  94.64100811  95.51091174],[1853.32397797 1815.82558236 2078.10705958],2
2021_6-9_1161_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1650, 1233)",[ 95.89828062 111.68905355  91.69185775],[2998.01666832 2456.85733378 1849.41140634],2
2021_6-9_1162_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1673, 1257)",[ 86.60516957 108.25858254 120.02248639],[2276.5090195  2322.27911342 4178.62024386],2
2021_6-9_1085_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(2907, 1798)",[93.22138327 81.62169658 75.25218098],[3759.65965147 3249.12102991 2255.22307383],2
2021_6-9_1086_UKR_a_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1501, 2787)",[141.35583908 113.85073604  92.77282219],[4746.75251808 4962.7254605  5676.65814498],2
2021_6-9_1150_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1211, 1650)",[ 85.93098716 102.33532768  78.60675175],[2098.06876524 2077.68185558 1713.40944609],2
2021_6-9_1154_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1620, 1224)",[58.80996581 73.93808249 67.05298354],[1488.07632195 1071.58701943  918.97631604],2
2021_6-9_1157_BAN_R_C.jpg,2021,6-9,BAN,Unknown,Unknown,"(1648, 1239)",[72.33200367 72.02805759 57.71885995],[3251.10777303 2230.78910166 2486.02348581],2
2021_6-9_1111_LAT_R_C.jpg,2021,6-9,LAT,Unknown,Unknown,"(1052, 1472)",[38.27710094 35.81540208 39.95532513],[656.15344229 699.36839974 759.88053445],2
2021_6-9_1067_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1260, 1911)",[ 68.8192453   88.13498708 125.90240878],[1417.56448039 1260.37382701 2749.66915577],2
2021_6-9_1069_UKR_a_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1507, 2937)",[88.73035538 85.96262183 80.28008642],[5024.24313143 4901.40721804 4755.3288756 ],2
2021_6-9_1058_UKR_R_C.jpg,2021,6-9,UKR,Ukraine,Eastern Europe,"(1271, 1908)",[ 73.88967196  80.7905634  107.11676085],[1583.57654729 1404.11811032 2549.97407903],2
2021_6-9_1123_USA_R_C.jpg,2021,6-9,USA,United States,North America,"(1054, 1277)",[82.3589696  82.75268693 94.77083237],[2298.4239129  1970.81148532 2722.59988591],2
